provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,29985,29995,30009,30026,30093,30132,30160,30227,30258
Bolívar,209933,-1.605556000000000,-79.00305600000000,7701,7706,7725,7774,7809,7891,7938,8016,8107
Carchi,186869,0.8121800000000000,-77.71633000000000,10096,10098,10099,10108,10113,10121,10124,10135,10153
Cañar,281396,-2.733333000000000,-78.83333300000000,7108,7131,7175,7218,7291,7321,7393,7444,7571
Chimborazo,524004,-1.674347000000000,-78.64829400000001,9755,9783,9791,9814,9842,9874,9894,9953,10034
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,12927,12940,12961,12997,13051,13072,13081,13166,13213
El Oro,715751,-3.266667000000000,-79.96666700000000,26048,26082,26251,26312,26377,26472,26608,26754,27013
Esmeraldas,591083,1.050000000000000,-79.20000000000000,10392,10395,10396,10405,10420,10434,10446,10457,10486
Galápagos,33042,-0.8000000000000000,-89.40000000000001,1554,1557,1559,1563,1565,1572,1579,1583,1623
Guayas,4387434,-2.183333000000000,-79.88333299999999,79303,79412,79507,79680,81336,82633,82940,84140,84950
Imbabura,476257,0.3626780000000000,-78.13066700000000,18241,18262,18280,18321,18338,18359,18387,18515,18642
Loja,521154,-3.983333000000000,-79.20000000000000,19084,19101,19121,19140,19194,19246,19276,19328,19465
Los Ríos,921763,-1.800000000000000,-79.53333300000000,13859,13870,13893,13915,13982,14061,14110,14158,14246
Manabí,1562079,-1.056181000000000,-80.45521700000000,37295,37371,37444,37561,37783,38016,38223,38578,38870
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,7488,7491,7495,7503,7530,7564,7587,7608,7617
Napo,133705,-0.9890000000000000,-77.81590000000000,4631,4631,4634,4639,4650,4668,4695,4713,4743
Orellana,161338,-0.4666670000000000,-76.96666700000000,4224,4231,4236,4239,4243,4245,4246,4251,4264
Pastaza,114202,-1.066667000000000,-78.00111099999999,3934,3935,3942,3943,3947,3952,3956,3965,3970
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,203054,203331,203592,204090,204423,204903,205163,205645,206286
Santa Elena,401178,-2.226700000000000,-80.85830000000000,4729,4737,4750,4758,4781,4817,4837,4860,4911
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,13256,13286,13294,13298,13305,13320,13334,13355,13398
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,6834,6836,6839,6851,6855,6861,6867,6892,6957
Tungurahua,590600,-1.241667000000000,-78.61972200000000,16842,16861,16924,16995,17055,17117,17139,17190,17232
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,3280,3282,3284,3286,3290,3299,3302,3305,3323
