zona,region,inec_provincia_id,provincia,poblacion,dosis_total,primera_dosis,segunda_dosis,dosis_unica,dosis_refuerzo,lat,lng,created_at
8,costa,09,Guayas,4387434,6438651,3298003,2843199,94033,203416,-2.183333000000000,-79.88333299999999,01/01/2022
9,sierra,17,Pichincha,3228233,5804701,2770181,2651332,57413,325775,-0.2186110000000000,-78.50972200000000,01/01/2022
4,costa,13,Manabí,1562079,2548773,1292541,1137831,50651,67750,-1.056181000000000,-80.45521700000000,01/01/2022
6,sierra,01,Azuay,881394,1464203,708476,659683,16102,79942,-2.897414000000000,-79.00448100000000,01/01/2022
5,costa,12,Los Ríos,921763,1255473,664812,532889,26565,31207,-1.800000000000000,-79.53333300000000,01/01/2022
7,costa,07,El Oro,715751,1199970,601484,539314,14555,44617,-3.266667000000000,-79.96666700000000,01/01/2022
3,sierra,18,Tungurahua,590600,982455,474019,435436,28460,44540,-1.241667000000000,-78.61972200000000,01/01/2022
1,costa,08,Esmeraldas,591083,850563,433056,364850,29912,22745,1.050000000000000,-79.20000000000000,01/01/2022
7,sierra,11,Loja,521154,884635,429460,398954,5140,51081,-3.983333000000000,-79.20000000000000,01/01/2022
3,sierra,06,Chimborazo,524004,792887,395312,342726,14091,40758,-1.674347000000000,-78.64829400000001,01/01/2022
3,sierra,05,Cotopaxi,488716,790647,387305,340346,27394,35602,-0.9333330000000000,-78.61666700000001,01/01/2022
1,sierra,10,Imbabura,476257,803639,386080,367476,14639,35444,0.3626780000000000,-78.13066700000000,01/01/2022
4,costa,23,Sto. Domingo Tsáchilas,511151,720255,365537,306615,29601,18502,-0.2541670000000000,-79.17194400000000,01/01/2022
5,costa,24,Santa Elena,401178,567078,300260,239789,9011,18018,-2.226700000000000,-80.85830000000000,01/01/2022
6,sierra,03,Cañar,281396,389773,191237,169160,8493,20883,-2.733333000000000,-78.83333300000000,01/01/2022
1,sierra,04,Carchi,186869,345881,174201,149302,7400,14978,0.8121800000000000,-77.71633000000000,01/01/2022
3,sierra,02,Bolívar,209933,337309,171081,141011,6768,18449,-1.605556000000000,-79.00305600000000,01/01/2022
2,amazonia,21,Sucumbíos,230503,321567,166287,138143,8517,8620,0.08472200000000001,-76.88277800000000,01/01/2022
2,amazonia,22,Orellana,161338,245366,128189,105835,5076,6266,-0.4666670000000000,-76.96666700000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,220128,109257,90801,10672,9398,-2.300000000000000,-78.11666700000001,01/01/2022
2,amazonia,15,Napo,133705,211934,109164,92955,3620,6195,-0.9890000000000000,-77.81590000000000,01/01/2022
7,amazonia,19,Zamora Chinchipe,120416,172768,88948,74595,2784,6441,-4.120000000000000,-78.80000000000000,01/01/2022
2,amazonia,16,Pastaza,114202,148953,73416,63279,5864,6394,-1.066667000000000,-78.00111099999999,01/01/2022
5,insular,20,Galápagos,33042,70175,29823,28529,0,11823,-0.8000000000000000,-89.40000000000001,01/01/2022
8,costa,09,Guayas,4387434,6439434,3298254,2843423,94039,203718,-2.183333000000000,-79.88333299999999,02/01/2022
9,sierra,17,Pichincha,3228233,5807020,2770373,2651631,57429,327587,-0.2186110000000000,-78.50972200000000,02/01/2022
4,costa,13,Manabí,1562079,2549250,1292613,1137987,50667,67983,-1.056181000000000,-80.45521700000000,02/01/2022
6,sierra,01,Azuay,881394,1464743,708539,659810,16115,80279,-2.897414000000000,-79.00448100000000,02/01/2022
5,costa,12,Los Ríos,921763,1255510,664820,532897,26566,31227,-1.800000000000000,-79.53333300000000,02/01/2022
7,costa,07,El Oro,715751,1200105,601521,539342,14556,44686,-3.266667000000000,-79.96666700000000,02/01/2022
3,sierra,18,Tungurahua,590600,982712,474034,435450,28468,44760,-1.241667000000000,-78.61972200000000,02/01/2022
1,costa,08,Esmeraldas,591083,850596,433057,364859,29915,22765,1.050000000000000,-79.20000000000000,02/01/2022
7,sierra,11,Loja,521154,884705,429463,398970,5146,51126,-3.983333000000000,-79.20000000000000,02/01/2022
3,sierra,06,Chimborazo,524004,793323,395378,342897,14122,40926,-1.674347000000000,-78.64829400000001,02/01/2022
3,sierra,05,Cotopaxi,488716,790775,387330,340375,27404,35666,-0.9333330000000000,-78.61666700000001,02/01/2022
1,sierra,10,Imbabura,476257,803729,386092,367487,14647,35503,0.3626780000000000,-78.13066700000000,02/01/2022
4,costa,23,Sto. Domingo Tsáchilas,511151,720570,365615,306722,29651,18582,-0.2541670000000000,-79.17194400000000,02/01/2022
5,costa,24,Santa Elena,401178,567118,300266,239799,9025,18028,-2.226700000000000,-80.85830000000000,02/01/2022
6,sierra,03,Cañar,281396,389826,191243,169169,8494,20920,-2.733333000000000,-78.83333300000000,02/01/2022
1,sierra,04,Carchi,186869,345931,174214,149308,7400,15009,0.8121800000000000,-77.71633000000000,02/01/2022
3,sierra,02,Bolívar,209933,337322,171087,141016,6768,18451,-1.605556000000000,-79.00305600000000,02/01/2022
2,amazonia,21,Sucumbíos,230503,321902,166361,138312,8527,8702,0.08472200000000001,-76.88277800000000,02/01/2022
2,amazonia,22,Orellana,161338,245367,128189,105835,5076,6267,-0.4666670000000000,-76.96666700000000,02/01/2022
6,amazonia,14,Morona Santiago,196535,220186,109276,90828,10675,9407,-2.300000000000000,-78.11666700000001,02/01/2022
